customer_id,customer_name,email,phone,preferred_categories,budget_level,city,registered_at,gender,age_group
42,Khách hàng 42,customer42@email.com,955679506,Vest|Đầm dạ hội,medium,Đà Nẵng,2022-09-03,Nữ,46-55
43,Khách hàng 43,customer43@email.com,935643159,Đầm dạ hội|Áo sơ mi|Áo dài,high,Hà Nội,2021-09-05,Nam,26-35
44,Khách hàng 44,customer44@email.com,973900135,Áo cưới|Váy công sở|Áo sơ mi,low,Huế,2022-04-04,Nữ,36-45
45,Khách hàng 45,customer45@email.com,939742165,Áo dài,medium,Huế,2022-12-10,Nữ,26-35
46,Khách hàng 46,customer46@email.com,988055069,Đầm dạ hội,high,Đà Nẵng,2022-04-30,Nữ,18-25
47,Khách hàng 47,customer47@email.com,983871890,Áo sơ mi|Đầm dạ hội|Áo cưới,high,Đà Nẵng,2021-12-27,Nữ,26-35
48,Khách hàng 48,customer48@email.com,940942292,Áo cưới|Đầm dạ hội|Quần tây,medium,Hà Nội,2021-07-17,Nữ,26-35
49,Khách hàng 49,customer49@email.com,934850391,Áo dài|Quần tây,high,TP.HCM,2021-08-10,Nữ,55+
50,Khách hàng 50,customer50@email.com,990099897,Áo cưới|Đầm dạ hội|Áo sơ mi,high,Đà Nẵng,2021-04-13,Nữ,18-25
51,Khách hàng 51,customer51@email.com,958436637,Đầm dạ hội,low,TP.HCM,2021-11-06,Nữ,46-55
52,Khách hàng 52,customer52@email.com,926989677,Quần tây,high,Đà Nẵng,2021-02-16,Nữ,46-55
53,Khách hàng 53,customer53@email.com,926948946,Áo sơ mi,medium,Huế,2021-04-16,Nữ,18-25
54,Khách hàng 54,customer54@email.com,973001391,Áo sơ mi,medium,Huế,2022-03-28,Nam,18-25
55,Khách hàng 55,customer55@email.com,974119726,Vest|Áo dài,medium,Hà Nội,2021-03-08,Nam,18-25
56,Khách hàng 56,customer56@email.com,994482772,Áo cưới|Áo dài,high,Hà Nội,2021-06-05,Nữ,26-35
57,Khách hàng 57,customer57@email.com,950780112,Váy công sở,high,Hà Nội,2021-09-12,Nữ,26-35
58,Khách hàng 58,customer58@email.com,991378577,Áo sơ mi,medium,Cần Thơ,2022-09-26,Nữ,26-35
59,Khách hàng 59,customer59@email.com,961053474,Váy công sở,high,Huế,2022-03-30,Nữ,18-25
60,Khách hàng 60,customer60@email.com,950987442,Váy công sở|Áo sơ mi,medium,Cần Thơ,2022-09-28,Nữ,36-45
61,Khách hàng 61,customer61@email.com,923318904,Áo sơ mi,high,TP.HCM,2022-10-03,Nữ,36-45
62,Khách hàng 62,customer62@email.com,920896797,Đầm dạ hội,high,TP.HCM,2021-09-03,Nữ,18-25
63,Khách hàng 63,customer63@email.com,931009452,Áo sơ mi,low,Hà Nội,2022-02-23,Nam,26-35
64,Khách hàng 64,customer64@email.com,949092160,Quần tây|Áo sơ mi,medium,Hà Nội,2021-08-26,Nữ,26-35
65,Khách hàng 65,customer65@email.com,970939053,Quần tây|Đầm dạ hội,high,Hà Nội,2022-12-05,Nữ,18-25
66,Khách hàng 66,customer66@email.com,989160218,Đầm dạ hội,high,TP.HCM,2022-03-12,Nam,36-45
67,Khách hàng 67,customer67@email.com,996924061,Áo sơ mi,low,TP.HCM,2021-09-30,Nữ,26-35
68,Khách hàng 68,customer68@email.com,932269779,Áo dài,low,Đà Nẵng,2022-09-02,Nữ,36-45
69,Khách hàng 69,customer69@email.com,926690465,Váy công sở|Áo sơ mi|Đầm dạ hội,medium,Huế,2022-12-07,Nữ,46-55
70,Khách hàng 70,customer70@email.com,977172238,Quần tây|Áo cưới,medium,Cần Thơ,2022-05-21,Nam,46-55
71,Khách hàng 71,customer71@email.com,967985905,Áo dài|Áo sơ mi,low,Đà Nẵng,2022-09-11,Nam,36-45
72,Khách hàng 72,customer72@email.com,987201917,Áo dài|Váy công sở,low,Cần Thơ,2021-01-22,Nam,36-45
73,Khách hàng 73,customer73@email.com,933513701,Váy công sở|Đầm dạ hội|Áo sơ mi,low,Huế,2022-06-16,Nữ,46-55
74,Khách hàng 74,customer74@email.com,968503492,Áo cưới|Đầm dạ hội|Vest,high,Huế,2021-04-04,Nữ,26-35
75,Khách hàng 75,customer75@email.com,953091709,Đầm dạ hội|Áo cưới,medium,Hà Nội,2021-06-14,Nam,26-35
76,Khách hàng 76,customer76@email.com,948683937,Áo cưới|Quần tây,medium,Huế,2022-07-18,Nữ,18-25
77,Khách hàng 77,customer77@email.com,952213778,Áo cưới,low,Đà Nẵng,2021-11-28,Nam,18-25
78,Khách hàng 78,customer78@email.com,979067939,Váy công sở,medium,Hà Nội,2022-11-05,Nữ,36-45
79,Khách hàng 79,customer79@email.com,979583757,Áo cưới|Váy công sở|Áo dài,low,Đà Nẵng,2022-09-30,Nam,36-45
80,Khách hàng 80,customer80@email.com,937321124,Quần tây|Áo cưới,low,Đà Nẵng,2022-07-17,Nữ,55+
81,Khách hàng 81,customer81@email.com,975056916,Đầm dạ hội,medium,Hà Nội,2021-01-30,Nữ,26-35
82,Khách hàng 82,customer82@email.com,983932360,Áo sơ mi|Vest|Quần tây,medium,Hà Nội,2022-07-20,Nam,26-35
83,Khách hàng 83,customer83@email.com,971934487,Áo dài|Vest,low,Hà Nội,2022-10-26,Nữ,18-25
84,Khách hàng 84,customer84@email.com,949172995,Áo cưới,high,Cần Thơ,2022-12-24,Nữ,26-35
85,Khách hàng 85,customer85@email.com,942713008,Áo cưới|Váy công sở,medium,Huế,2022-07-19,Nam,55+
86,Khách hàng 86,customer86@email.com,990447099,Áo cưới,low,Cần Thơ,2021-05-20,Nam,26-35
87,Khách hàng 87,customer87@email.com,955617282,Đầm dạ hội,medium,Cần Thơ,2021-10-01,Nữ,18-25
88,Khách hàng 88,customer88@email.com,950071487,Đầm dạ hội,high,Cần Thơ,2022-08-17,Nữ,36-45
89,Khách hàng 89,customer89@email.com,975007200,Áo cưới|Vest|Váy công sở,high,Đà Nẵng,2021-12-07,Nữ,26-35
90,Khách hàng 90,customer90@email.com,953188224,Váy công sở|Áo sơ mi|Áo cưới,medium,TP.HCM,2022-12-16,Nữ,46-55
91,Khách hàng 91,customer91@email.com,941348220,Áo sơ mi,medium,Huế,2021-02-14,Nữ,36-45
92,Khách hàng 92,customer92@email.com,961167978,Quần tây|Áo cưới,high,Huế,2022-11-11,Nữ,46-55
93,Khách hàng 93,customer93@email.com,977416376,Vest|Áo cưới|Áo dài,low,Cần Thơ,2021-12-06,Nữ,18-25
94,Khách hàng 94,customer94@email.com,923383077,Váy công sở,medium,Cần Thơ,2022-04-13,Nữ,18-25
95,Khách hàng 95,customer95@email.com,965026398,Quần tây,low,TP.HCM,2021-03-18,Nữ,26-35
96,Khách hàng 96,customer96@email.com,993652460,Váy công sở|Đầm dạ hội,medium,Huế,2022-10-28,Nữ,18-25
97,Khách hàng 97,customer97@email.com,981621574,Váy công sở,medium,Huế,2021-11-21,Nam,26-35
98,Khách hàng 98,customer98@email.com,992874006,Quần tây|Áo cưới|Áo sơ mi,low,Hà Nội,2021-08-29,Nam,36-45
99,Khách hàng 99,customer99@email.com,922130508,Quần tây|Đầm dạ hội|Vest,high,Huế,2021-04-11,Nam,18-25
100,Khách hàng 100,customer100@email.com,950193656,Quần tây|Áo dài|Áo cưới,low,Hà Nội,2021-02-17,Nam,26-35
101,Khách hàng 101,customer101@email.com,958112135,Váy công sở|Áo dài,medium,Đà Nẵng,2022-03-18,Nữ,26-35
102,Khách hàng 102,customer102@email.com,965304649,Vest,high,Cần Thơ,2022-11-30,Nam,55+
103,Khách hàng 103,customer103@email.com,920598952,Vest,low,Cần Thơ,2022-01-27,Nữ,18-25
104,Khách hàng 104,customer104@email.com,929208935,Quần tây|Vest|Áo cưới,high,TP.HCM,2022-04-18,Nữ,26-35
105,Khách hàng 105,customer105@email.com,911261301,Đầm dạ hội|Áo cưới|Váy công sở,high,Huế,2021-10-22,Nam,26-35
106,Khách hàng 106,customer106@email.com,956381032,Áo sơ mi|Vest|Áo dài,medium,Cần Thơ,2021-11-03,Nữ,18-25
107,Khách hàng 107,customer107@email.com,950550084,Áo cưới|Quần tây|Đầm dạ hội,medium,TP.HCM,2022-01-29,Nữ,26-35
108,Khách hàng 108,customer108@email.com,986762164,Áo dài|Vest,medium,Đà Nẵng,2022-08-12,Nữ,26-35
109,Khách hàng 109,customer109@email.com,998346110,Quần tây|Đầm dạ hội,low,Huế,2021-10-09,Nữ,26-35
110,Khách hàng 110,customer110@email.com,916582607,Áo sơ mi,high,Cần Thơ,2022-05-24,Nam,26-35
111,Khách hàng 111,customer111@email.com,957287718,Váy công sở|Vest,high,TP.HCM,2022-10-14,Nữ,18-25
112,Khách hàng 112,customer112@email.com,998473848,Áo sơ mi,medium,TP.HCM,2022-10-06,Nữ,46-55
113,Khách hàng 113,customer113@email.com,915291208,Quần tây,high,Đà Nẵng,2022-03-28,Nữ,36-45
114,Khách hàng 114,customer114@email.com,927637794,Áo sơ mi,medium,Hà Nội,2021-10-30,Nữ,26-35
115,Khách hàng 115,customer115@email.com,936950221,Quần tây|Áo cưới,low,TP.HCM,2022-07-07,Nữ,18-25
116,Khách hàng 116,customer116@email.com,932084778,Áo sơ mi|Váy công sở,medium,Đà Nẵng,2022-05-09,Nam,26-35
117,Khách hàng 117,customer117@email.com,972858374,Quần tây|Đầm dạ hội,low,Hà Nội,2021-05-25,Nữ,26-35
118,Khách hàng 118,customer118@email.com,963339667,Váy công sở,high,Cần Thơ,2022-01-10,Nữ,36-45
119,Khách hàng 119,customer119@email.com,911868130,Váy công sở,medium,Đà Nẵng,2022-07-04,Nữ,55+
120,Khách hàng 120,customer120@email.com,945186708,Áo cưới,medium,Cần Thơ,2022-01-26,Nam,18-25
121,Khách hàng 121,customer121@email.com,913358751,Đầm dạ hội|Áo dài|Vest,medium,Cần Thơ,2022-07-29,Nữ,26-35
122,Khách hàng 122,customer122@email.com,918484847,Áo sơ mi|Vest,high,Huế,2022-12-19,Nữ,55+
123,Khách hàng 123,customer123@email.com,928760553,Quần tây|Áo cưới,low,Hà Nội,2021-02-08,Nữ,46-55
124,Khách hàng 124,customer124@email.com,941514326,Áo cưới|Áo dài,low,Cần Thơ,2021-05-19,Nữ,18-25
125,Khách hàng 125,customer125@email.com,982503409,Áo cưới|Đầm dạ hội,high,Huế,2022-08-25,Nữ,55+
126,Khách hàng 126,customer126@email.com,923290458,Quần tây|Vest|Áo cưới,high,Huế,2022-09-23,Nam,36-45
127,Khách hàng 127,customer127@email.com,959731689,Đầm dạ hội|Áo dài,high,TP.HCM,2022-03-31,Nam,55+
128,Khách hàng 128,customer128@email.com,959302863,Vest|Đầm dạ hội,low,Cần Thơ,2022-10-23,Nữ,36-45
129,Khách hàng 129,customer129@email.com,935475673,Áo dài|Áo cưới,medium,Hà Nội,2022-04-11,Nữ,36-45
130,Khách hàng 130,customer130@email.com,996128115,Quần tây,low,Cần Thơ,2021-01-22,Nam,55+
131,Khách hàng 131,customer131@email.com,942691263,Váy công sở,medium,TP.HCM,2022-08-02,Nam,36-45
132,Khách hàng 132,customer132@email.com,937804191,Áo dài,high,Cần Thơ,2021-08-10,Nam,26-35
133,Khách hàng 133,customer133@email.com,989991301,Đầm dạ hội,low,Hà Nội,2021-10-11,Nữ,36-45
134,Khách hàng 134,customer134@email.com,943642236,Vest,high,TP.HCM,2021-04-23,Nam,46-55
135,Khách hàng 135,customer135@email.com,958082464,Váy công sở|Áo dài|Vest,low,TP.HCM,2022-08-26,Nữ,26-35
136,Khách hàng 136,customer136@email.com,917032877,Áo dài|Vest,medium,TP.HCM,2022-03-08,Nữ,46-55
137,Khách hàng 137,customer137@email.com,970166480,Áo dài|Quần tây|Váy công sở,medium,Đà Nẵng,2022-06-10,Nữ,26-35
138,Khách hàng 138,customer138@email.com,992558242,Áo dài|Áo cưới|Áo sơ mi,low,Hà Nội,2022-11-06,Nam,26-35
139,Khách hàng 139,customer139@email.com,974287863,Đầm dạ hội|Áo cưới|Áo dài,low,Huế,2022-03-13,Nam,36-45
140,Khách hàng 140,customer140@email.com,920843514,Áo dài|Áo cưới|Quần tây,low,Đà Nẵng,2022-09-15,Nam,36-45
141,Khách hàng 141,customer141@email.com,946912022,Áo dài,low,Cần Thơ,2022-10-11,Nam,26-35
142,Khách hàng 142,customer142@email.com,990180577,Áo sơ mi|Quần tây|Đầm dạ hội,medium,Cần Thơ,2021-10-29,Nữ,36-45
143,Khách hàng 143,customer143@email.com,923311507,Áo sơ mi|Váy công sở,medium,Hà Nội,2022-11-02,Nam,26-35
144,Khách hàng 144,customer144@email.com,970606674,Váy công sở|Áo sơ mi|Vest,medium,TP.HCM,2022-02-28,Nữ,36-45
145,Khách hàng 145,customer145@email.com,965833185,Váy công sở|Áo cưới,medium,Hà Nội,2021-11-17,Nữ,55+
146,Khách hàng 146,customer146@email.com,960237832,Đầm dạ hội|Quần tây,medium,TP.HCM,2022-12-05,Nữ,26-35
147,Khách hàng 147,customer147@email.com,922513132,Áo dài|Váy công sở,low,Huế,2021-04-09,Nữ,36-45
148,Khách hàng 148,customer148@email.com,918050510,Quần tây|Đầm dạ hội|Vest,high,Cần Thơ,2022-07-30,Nam,46-55
149,Khách hàng 149,customer149@email.com,957459130,Đầm dạ hội|Quần tây|Áo dài,medium,Huế,2021-02-22,Nam,26-35
150,Khách hàng 150,customer150@email.com,923905032,Áo sơ mi|Đầm dạ hội,medium,Cần Thơ,2022-06-04,Nam,36-45
151,Khách hàng 151,customer151@email.com,974718365,Vest,high,TP.HCM,2021-04-21,Nam,36-45
152,Khách hàng 152,customer152@email.com,925419645,Váy công sở|Áo sơ mi,medium,Đà Nẵng,2022-08-11,Nam,36-45
153,Khách hàng 153,customer153@email.com,985291541,Váy công sở,medium,Cần Thơ,2022-09-21,Nam,18-25
154,Khách hàng 154,customer154@email.com,998292612,Quần tây|Áo sơ mi|Áo dài,high,Đà Nẵng,2021-01-30,Nam,26-35
155,Khách hàng 155,customer155@email.com,951471222,Đầm dạ hội,high,Đà Nẵng,2021-12-26,Nữ,26-35
156,Khách hàng 156,customer156@email.com,986010330,Vest,low,Huế,2021-03-13,Nữ,18-25
157,Khách hàng 157,customer157@email.com,914114726,Quần tây,high,Hà Nội,2022-06-28,Nữ,26-35
158,Khách hàng 158,customer158@email.com,970887307,Áo cưới,medium,Đà Nẵng,2021-06-11,Nữ,18-25
159,Khách hàng 159,customer159@email.com,986181117,Đầm dạ hội|Quần tây,medium,Cần Thơ,2021-03-28,Nữ,55+
160,Khách hàng 160,customer160@email.com,992924837,Vest,low,Hà Nội,2022-11-22,Nữ,36-45
161,Khách hàng 161,customer161@email.com,998843907,Đầm dạ hội,medium,Huế,2022-05-13,Nữ,55+
162,Khách hàng 162,customer162@email.com,978765957,Áo cưới|Váy công sở|Đầm dạ hội,low,Hà Nội,2021-12-20,Nam,36-45
163,Khách hàng 163,customer163@email.com,989609131,Áo dài|Đầm dạ hội,high,Huế,2022-06-24,Nam,26-35
164,Khách hàng 164,customer164@email.com,990440034,Đầm dạ hội|Áo dài|Vest,medium,Hà Nội,2021-01-08,Nam,26-35
165,Khách hàng 165,customer165@email.com,928419343,Đầm dạ hội,low,Đà Nẵng,2021-10-24,Nam,36-45
166,Khách hàng 166,customer166@email.com,967801537,Áo dài|Váy công sở,medium,TP.HCM,2021-05-13,Nữ,36-45
167,Khách hàng 167,customer167@email.com,977144075,Áo sơ mi|Quần tây,low,Cần Thơ,2022-11-16,Nam,26-35
168,Khách hàng 168,customer168@email.com,915677713,Áo dài|Áo cưới,high,Huế,2021-01-20,Nam,55+
169,Khách hàng 169,customer169@email.com,967617561,Áo dài|Đầm dạ hội,high,Cần Thơ,2022-02-19,Nữ,36-45
170,Khách hàng 170,customer170@email.com,964362516,Quần tây|Áo cưới|Đầm dạ hội,low,Hà Nội,2021-11-29,Nữ,26-35
171,Khách hàng 171,customer171@email.com,971753160,Váy công sở,high,Đà Nẵng,2021-04-01,Nam,18-25
172,Khách hàng 172,customer172@email.com,968475513,Váy công sở|Áo dài,low,Cần Thơ,2022-02-15,Nữ,46-55
173,Khách hàng 173,customer173@email.com,955568701,Áo dài|Áo cưới|Đầm dạ hội,high,TP.HCM,2021-12-08,Nam,26-35
174,Khách hàng 174,customer174@email.com,994989976,Áo dài,high,Hà Nội,2022-06-28,Nữ,26-35
175,Khách hàng 175,customer175@email.com,996629889,Vest|Đầm dạ hội|Quần tây,high,TP.HCM,2021-08-30,Nữ,26-35
176,Khách hàng 176,customer176@email.com,936477373,Vest,medium,TP.HCM,2022-09-09,Nam,46-55
177,Khách hàng 177,customer177@email.com,920113745,Váy công sở,high,TP.HCM,2022-10-06,Nữ,36-45
178,Khách hàng 178,customer178@email.com,970251043,Áo cưới|Áo sơ mi,high,Cần Thơ,2022-10-21,Nam,26-35
179,Khách hàng 179,customer179@email.com,969023966,Áo sơ mi|Đầm dạ hội|Quần tây,low,Hà Nội,2022-04-26,Nữ,36-45
180,Khách hàng 180,customer180@email.com,989379016,Quần tây|Đầm dạ hội,medium,Hà Nội,2021-12-27,Nam,36-45
181,Khách hàng 181,customer181@email.com,915047559,Áo dài|Đầm dạ hội|Áo cưới,medium,Hà Nội,2022-01-13,Nữ,36-45
182,Khách hàng 182,customer182@email.com,992545028,Áo dài|Quần tây,low,Cần Thơ,2022-06-04,Nữ,26-35
183,Khách hàng 183,customer183@email.com,915505975,Áo cưới|Áo sơ mi,high,Huế,2022-08-09,Nam,26-35
184,Khách hàng 184,customer184@email.com,977292380,Vest|Đầm dạ hội|Áo sơ mi,medium,TP.HCM,2021-03-05,Nữ,26-35
185,Khách hàng 185,customer185@email.com,921318464,Áo dài|Đầm dạ hội,high,Cần Thơ,2022-10-24,Nữ,18-25
186,Khách hàng 186,customer186@email.com,968754920,Áo dài,low,Huế,2022-06-21,Nữ,46-55
187,Khách hàng 187,customer187@email.com,947969333,Áo sơ mi|Vest|Đầm dạ hội,medium,Huế,2022-02-23,Nữ,18-25
188,Khách hàng 188,customer188@email.com,994676162,Quần tây|Áo sơ mi,low,Đà Nẵng,2021-03-09,Nam,18-25
189,Khách hàng 189,customer189@email.com,961883769,Áo dài|Áo sơ mi,high,Đà Nẵng,2021-09-16,Nữ,36-45
190,Khách hàng 190,customer190@email.com,954743095,Váy công sở|Quần tây|Áo sơ mi,low,Hà Nội,2022-08-20,Nữ,18-25
191,Khách hàng 191,customer191@email.com,998870276,Vest|Đầm dạ hội|Quần tây,high,Huế,2021-05-13,Nữ,26-35
192,Khách hàng 192,customer192@email.com,960557040,Quần tây|Áo dài|Đầm dạ hội,high,Đà Nẵng,2021-05-11,Nam,18-25
193,Khách hàng 193,customer193@email.com,996707983,Quần tây|Váy công sở|Áo sơ mi,low,Huế,2022-06-05,Nam,36-45
194,Khách hàng 194,customer194@email.com,934194479,Áo dài|Đầm dạ hội,medium,TP.HCM,2021-12-16,Nam,46-55
195,Khách hàng 195,customer195@email.com,930796389,Vest|Váy công sở,low,Hà Nội,2021-10-30,Nữ,55+
196,Khách hàng 196,customer196@email.com,980669879,Áo sơ mi,high,Hà Nội,2022-11-09,Nam,26-35
197,Khách hàng 197,customer197@email.com,990161060,Váy công sở|Áo sơ mi,low,Huế,2021-06-07,Nữ,18-25
198,Khách hàng 198,customer198@email.com,993851247,Vest,high,TP.HCM,2022-03-25,Nam,36-45
199,Khách hàng 199,customer199@email.com,941880763,Áo cưới,medium,Huế,2022-09-18,Nữ,26-35
200,Khách hàng 200,customer200@email.com,941407343,Váy công sở|Quần tây,medium,Cần Thơ,2021-09-02,Nữ,36-45
201,Khách hàng 201,customer201@email.com,959370777,Váy công sở|Áo cưới,low,Cần Thơ,2022-03-28,Nam,26-35
202,Khách hàng 202,customer202@email.com,977498993,Váy công sở|Đầm dạ hội,medium,Cần Thơ,2022-03-05,Nữ,18-25
203,Khách hàng 203,customer203@email.com,991156554,Váy công sở,low,TP.HCM,2021-09-14,Nữ,26-35
204,Khách hàng 204,customer204@email.com,959823245,Quần tây,medium,Cần Thơ,2021-04-16,Nữ,26-35
205,Khách hàng 205,customer205@email.com,921257528,Váy công sở|Áo sơ mi|Áo dài,medium,TP.HCM,2021-10-07,Nam,26-35
206,Khách hàng 206,customer206@email.com,922309586,Áo sơ mi|Vest,medium,TP.HCM,2022-04-07,Nữ,36-45
207,Khách hàng 207,customer207@email.com,963211150,Áo dài|Áo cưới,low,Cần Thơ,2022-01-18,Nam,26-35
208,Khách hàng 208,customer208@email.com,960319927,Áo cưới,low,TP.HCM,2021-01-29,Nam,36-45
209,Khách hàng 209,customer209@email.com,955001909,Áo dài|Quần tây,high,TP.HCM,2021-05-21,Nữ,18-25
210,Khách hàng 210,customer210@email.com,928628439,Đầm dạ hội,medium,Huế,2022-04-05,Nữ,55+
211,Khách hàng 211,customer211@email.com,938944689,Áo dài|Váy công sở|Quần tây,medium,TP.HCM,2022-07-16,Nữ,26-35
212,Khách hàng 212,customer212@email.com,948668339,Áo sơ mi|Váy công sở|Áo cưới,low,TP.HCM,2021-11-05,Nam,18-25
213,Khách hàng 213,customer213@email.com,966348030,Áo dài,low,Cần Thơ,2022-04-14,Nữ,26-35
214,Khách hàng 214,customer214@email.com,990092958,Áo dài,medium,Cần Thơ,2021-01-17,Nữ,26-35
215,Khách hàng 215,customer215@email.com,929270557,Áo sơ mi|Váy công sở|Vest,high,Đà Nẵng,2022-03-16,Nam,36-45
216,Khách hàng 216,customer216@email.com,942287985,Áo sơ mi,medium,Cần Thơ,2022-03-03,Nam,36-45
217,Khách hàng 217,customer217@email.com,921490910,Quần tây,high,Cần Thơ,2022-01-05,Nam,46-55
218,Khách hàng 218,customer218@email.com,978092370,Áo sơ mi,high,Cần Thơ,2022-07-22,Nữ,36-45
219,Khách hàng 219,customer219@email.com,915843091,Áo cưới,medium,Huế,2022-01-18,Nam,18-25
220,Khách hàng 220,customer220@email.com,919067690,Quần tây|Áo dài,medium,Đà Nẵng,2021-09-04,Nữ,26-35
221,Khách hàng 221,customer221@email.com,954629892,Quần tây|Váy công sở|Áo dài,high,TP.HCM,2021-02-15,Nữ,46-55
222,Khách hàng 222,customer222@email.com,933500064,Áo sơ mi|Đầm dạ hội,high,Huế,2022-12-14,Nam,36-45
223,Khách hàng 223,customer223@email.com,918469210,Quần tây|Vest,low,Huế,2021-02-07,Nữ,55+
224,Khách hàng 224,customer224@email.com,915624520,Vest|Áo dài,low,Đà Nẵng,2021-11-14,Nữ,36-45
225,Khách hàng 225,customer225@email.com,914915156,Áo cưới|Áo sơ mi|Váy công sở,medium,TP.HCM,2021-10-20,Nữ,18-25
