customer_id,customer_name,email,phone,preferred_categories,budget_level,city,registered_at
74,Khách hàng 74,customer74@email.com,0968503492,Áo cưới|Đầm dạ hội|Vest,high,Huế,2021-04-04
75,Khách hàng 75,customer75@email.com,0953091709,Đầm dạ hội|Áo cưới,medium,Hà Nội,2021-06-14
76,Khách hàng 76,customer76@email.com,0948683937,Áo cưới|Quần tây,medium,Huế,2022-07-18
77,Khách hàng 77,customer77@email.com,0952213778,Áo cưới,low,Đà Nẵng,2021-11-28
78,Khách hàng 78,customer78@email.com,0979067939,Váy công sở,medium,Hà Nội,2022-11-05
79,Khách hàng 79,customer79@email.com,0979583757,Áo cưới|Váy công sở|Áo dài,low,Đà Nẵng,2022-09-30
80,Khách hàng 80,customer80@email.com,0937321124,Quần tây|Áo cưới,low,Đà Nẵng,2022-07-17
81,Khách hàng 81,customer81@email.com,0975056916,Đầm dạ hội,medium,Hà Nội,2021-01-30
82,Khách hàng 82,customer82@email.com,0983932360,Áo sơ mi|Vest|Quần tây,medium,Hà Nội,2022-07-20
83,Khách hàng 83,customer83@email.com,0971934487,Áo dài|Vest,low,Hà Nội,2022-10-26
84,Khách hàng 84,customer84@email.com,0949172995,Áo cưới,high,Cần Thơ,2022-12-24
85,Khách hàng 85,customer85@email.com,0942713008,Áo cưới|Váy công sở,medium,Huế,2022-07-19
86,Khách hàng 86,customer86@email.com,0990447099,Áo cưới,low,Cần Thơ,2021-05-20
87,Khách hàng 87,customer87@email.com,0955617282,Đầm dạ hội,medium,Cần Thơ,2021-10-01
88,Khách hàng 88,customer88@email.com,0950071487,Đầm dạ hội,high,Cần Thơ,2022-08-17
89,Khách hàng 89,customer89@email.com,0975007200,Áo cưới|Vest|Váy công sở,high,Đà Nẵng,2021-12-07
90,Khách hàng 90,customer90@email.com,0953188224,Váy công sở|Áo sơ mi|Áo cưới,medium,TP.HCM,2022-12-16
91,Khách hàng 91,customer91@email.com,0941348220,Áo sơ mi,medium,Huế,2021-02-14
92,Khách hàng 92,customer92@email.com,0961167978,Quần tây|Áo cưới,high,Huế,2022-11-11
93,Khách hàng 93,customer93@email.com,0977416376,Vest|Áo cưới|Áo dài,low,Cần Thơ,2021-12-06
94,Khách hàng 94,customer94@email.com,0923383077,Váy công sở,medium,Cần Thơ,2022-04-13
95,Khách hàng 95,customer95@email.com,0965026398,Quần tây,low,TP.HCM,2021-03-18
96,Khách hàng 96,customer96@email.com,0993652460,Váy công sở|Đầm dạ hội,medium,Huế,2022-10-28
97,Khách hàng 97,customer97@email.com,0981621574,Váy công sở,medium,Huế,2021-11-21
98,Khách hàng 98,customer98@email.com,0992874006,Quần tây|Áo cưới|Áo sơ mi,low,Hà Nội,2021-08-29
99,Khách hàng 99,customer99@email.com,0922130508,Quần tây|Đầm dạ hội|Vest,high,Huế,2021-04-11
100,Khách hàng 100,customer100@email.com,0950193656,Quần tây|Áo dài|Áo cưới,low,Hà Nội,2021-02-17
101,Khách hàng 101,customer101@email.com,0958112135,Váy công sở|Áo dài,medium,Đà Nẵng,2022-03-18
102,Khách hàng 102,customer102@email.com,0965304649,Vest,high,Cần Thơ,2022-11-30
103,Khách hàng 103,customer103@email.com,0920598952,Vest,low,Cần Thơ,2022-01-27
104,Khách hàng 104,customer104@email.com,0929208935,Quần tây|Vest|Áo cưới,high,TP.HCM,2022-04-18
105,Khách hàng 105,customer105@email.com,0911261301,Đầm dạ hội|Áo cưới|Váy công sở,high,Huế,2021-10-22
106,Khách hàng 106,customer106@email.com,0956381032,Áo sơ mi|Vest|Áo dài,medium,Cần Thơ,2021-11-03
107,Khách hàng 107,customer107@email.com,0950550084,Áo cưới|Quần tây|Đầm dạ hội,medium,TP.HCM,2022-01-29
108,Khách hàng 108,customer108@email.com,0986762164,Áo dài|Vest,medium,Đà Nẵng,2022-08-12
109,Khách hàng 109,customer109@email.com,0998346110,Quần tây|Đầm dạ hội,low,Huế,2021-10-09
110,Khách hàng 110,customer110@email.com,0916582607,Áo sơ mi,high,Cần Thơ,2022-05-24
111,Khách hàng 111,customer111@email.com,0957287718,Váy công sở|Vest,high,TP.HCM,2022-10-14
112,Khách hàng 112,customer112@email.com,0998473848,Áo sơ mi,medium,TP.HCM,2022-10-06
113,Khách hàng 113,customer113@email.com,0915291208,Quần tây,high,Đà Nẵng,2022-03-28
114,Khách hàng 114,customer114@email.com,0927637794,Áo sơ mi,medium,Hà Nội,2021-10-30
115,Khách hàng 115,customer115@email.com,0936950221,Quần tây|Áo cưới,low,TP.HCM,2022-07-07
116,Khách hàng 116,customer116@email.com,0932084778,Áo sơ mi|Váy công sở,medium,Đà Nẵng,2022-05-09
117,Khách hàng 117,customer117@email.com,0972858374,Quần tây|Đầm dạ hội,low,Hà Nội,2021-05-25
118,Khách hàng 118,customer118@email.com,0963339667,Váy công sở,high,Cần Thơ,2022-01-10
119,Khách hàng 119,customer119@email.com,0911868130,Váy công sở,medium,Đà Nẵng,2022-07-04
120,Khách hàng 120,customer120@email.com,0945186708,Áo cưới,medium,Cần Thơ,2022-01-26
121,Khách hàng 121,customer121@email.com,0913358751,Đầm dạ hội|Áo dài|Vest,medium,Cần Thơ,2022-07-29
122,Khách hàng 122,customer122@email.com,0918484847,Áo sơ mi|Vest,high,Huế,2022-12-19
123,Khách hàng 123,customer123@email.com,0928760553,Quần tây|Áo cưới,low,Hà Nội,2021-02-08
124,Khách hàng 124,customer124@email.com,0941514326,Áo cưới|Áo dài,low,Cần Thơ,2021-05-19
125,Khách hàng 125,customer125@email.com,0982503409,Áo cưới|Đầm dạ hội,high,Huế,2022-08-25
126,Khách hàng 126,customer126@email.com,0923290458,Quần tây|Vest|Áo cưới,high,Huế,2022-09-23
127,Khách hàng 127,customer127@email.com,0959731689,Đầm dạ hội|Áo dài,high,TP.HCM,2022-03-31
128,Khách hàng 128,customer128@email.com,0959302863,Vest|Đầm dạ hội,low,Cần Thơ,2022-10-23
129,Khách hàng 129,customer129@email.com,0935475673,Áo dài|Áo cưới,medium,Hà Nội,2022-04-11
130,Khách hàng 130,customer130@email.com,0996128115,Quần tây,low,Cần Thơ,2021-01-22
131,Khách hàng 131,customer131@email.com,0942691263,Váy công sở,medium,TP.HCM,2022-08-02
132,Khách hàng 132,customer132@email.com,0937804191,Áo dài,high,Cần Thơ,2021-08-10
133,Khách hàng 133,customer133@email.com,0989991301,Đầm dạ hội,low,Hà Nội,2021-10-11
134,Khách hàng 134,customer134@email.com,0943642236,Vest,high,TP.HCM,2021-04-23
135,Khách hàng 135,customer135@email.com,0958082464,Váy công sở|Áo dài|Vest,low,TP.HCM,2022-08-26
136,Khách hàng 136,customer136@email.com,0917032877,Áo dài|Vest,medium,TP.HCM,2022-03-08
137,Khách hàng 137,customer137@email.com,0970166480,Áo dài|Quần tây|Váy công sở,medium,Đà Nẵng,2022-06-10
138,Khách hàng 138,customer138@email.com,0992558242,Áo dài|Áo cưới|Áo sơ mi,low,Hà Nội,2022-11-06
139,Khách hàng 139,customer139@email.com,0974287863,Đầm dạ hội|Áo cưới|Áo dài,low,Huế,2022-03-13
140,Khách hàng 140,customer140@email.com,0920843514,Áo dài|Áo cưới|Quần tây,low,Đà Nẵng,2022-09-15
141,Khách hàng 141,customer141@email.com,0946912022,Áo dài,low,Cần Thơ,2022-10-11
142,Khách hàng 142,customer142@email.com,0990180577,Áo sơ mi|Quần tây|Đầm dạ hội,medium,Cần Thơ,2021-10-29
143,Khách hàng 143,customer143@email.com,0923311507,Áo sơ mi|Váy công sở,medium,Hà Nội,2022-11-02
144,Khách hàng 144,customer144@email.com,0970606674,Váy công sở|Áo sơ mi|Vest,medium,TP.HCM,2022-02-28
145,Khách hàng 145,customer145@email.com,0965833185,Váy công sở|Áo cưới,medium,Hà Nội,2021-11-17
146,Khách hàng 146,customer146@email.com,0960237832,Đầm dạ hội|Quần tây,medium,TP.HCM,2022-12-05
147,Khách hàng 147,customer147@email.com,0922513132,Áo dài|Váy công sở,low,Huế,2021-04-09
148,Khách hàng 148,customer148@email.com,0918050510,Quần tây|Đầm dạ hội|Vest,high,Cần Thơ,2022-07-30
149,Khách hàng 149,customer149@email.com,0957459130,Đầm dạ hội|Quần tây|Áo dài,medium,Huế,2021-02-22
150,Khách hàng 150,customer150@email.com,0923905032,Áo sơ mi|Đầm dạ hội,medium,Cần Thơ,2022-06-04
151,Khách hàng 151,customer151@email.com,0974718365,Vest,high,TP.HCM,2021-04-21
152,Khách hàng 152,customer152@email.com,0925419645,Váy công sở|Áo sơ mi,medium,Đà Nẵng,2022-08-11
153,Khách hàng 153,customer153@email.com,0985291541,Váy công sở,medium,Cần Thơ,2022-09-21
154,Khách hàng 154,customer154@email.com,0998292612,Quần tây|Áo sơ mi|Áo dài,high,Đà Nẵng,2021-01-30
155,Khách hàng 155,customer155@email.com,0951471222,Đầm dạ hội,high,Đà Nẵng,2021-12-26
156,Khách hàng 156,customer156@email.com,0986010330,Vest,low,Huế,2021-03-13
157,Khách hàng 157,customer157@email.com,0914114726,Quần tây,high,Hà Nội,2022-06-28
158,Khách hàng 158,customer158@email.com,0970887307,Áo cưới,medium,Đà Nẵng,2021-06-11
159,Khách hàng 159,customer159@email.com,0986181117,Đầm dạ hội|Quần tây,medium,Cần Thơ,2021-03-28
160,Khách hàng 160,customer160@email.com,0992924837,Vest,low,Hà Nội,2022-11-22
161,Khách hàng 161,customer161@email.com,0998843907,Đầm dạ hội,medium,Huế,2022-05-13
162,Khách hàng 162,customer162@email.com,0978765957,Áo cưới|Váy công sở|Đầm dạ hội,low,Hà Nội,2021-12-20
163,Khách hàng 163,customer163@email.com,0989609131,Áo dài|Đầm dạ hội,high,Huế,2022-06-24
164,Khách hàng 164,customer164@email.com,0990440034,Đầm dạ hội|Áo dài|Vest,medium,Hà Nội,2021-01-08
165,Khách hàng 165,customer165@email.com,0928419343,Đầm dạ hội,low,Đà Nẵng,2021-10-24
166,Khách hàng 166,customer166@email.com,0967801537,Áo dài|Váy công sở,medium,TP.HCM,2021-05-13
167,Khách hàng 167,customer167@email.com,0977144075,Áo sơ mi|Quần tây,low,Cần Thơ,2022-11-16
168,Khách hàng 168,customer168@email.com,0915677713,Áo dài|Áo cưới,high,Huế,2021-01-20
169,Khách hàng 169,customer169@email.com,0967617561,Áo dài|Đầm dạ hội,high,Cần Thơ,2022-02-19
170,Khách hàng 170,customer170@email.com,0964362516,Quần tây|Áo cưới|Đầm dạ hội,low,Hà Nội,2021-11-29
171,Khách hàng 171,customer171@email.com,0971753160,Váy công sở,high,Đà Nẵng,2021-04-01
172,Khách hàng 172,customer172@email.com,0968475513,Váy công sở|Áo dài,low,Cần Thơ,2022-02-15
173,Khách hàng 173,customer173@email.com,0955568701,Áo dài|Áo cưới|Đầm dạ hội,high,TP.HCM,2021-12-08
174,Khách hàng 174,customer174@email.com,0994989976,Áo dài,high,Hà Nội,2022-06-28
175,Khách hàng 175,customer175@email.com,0996629889,Vest|Đầm dạ hội|Quần tây,high,TP.HCM,2021-08-30
176,Khách hàng 176,customer176@email.com,0936477373,Vest,medium,TP.HCM,2022-09-09
177,Khách hàng 177,customer177@email.com,0920113745,Váy công sở,high,TP.HCM,2022-10-06
178,Khách hàng 178,customer178@email.com,0970251043,Áo cưới|Áo sơ mi,high,Cần Thơ,2022-10-21
179,Khách hàng 179,customer179@email.com,0969023966,Áo sơ mi|Đầm dạ hội|Quần tây,low,Hà Nội,2022-04-26
180,Khách hàng 180,customer180@email.com,0989379016,Quần tây|Đầm dạ hội,medium,Hà Nội,2021-12-27
181,Khách hàng 181,customer181@email.com,0915047559,Áo dài|Đầm dạ hội|Áo cưới,medium,Hà Nội,2022-01-13
182,Khách hàng 182,customer182@email.com,0992545028,Áo dài|Quần tây,low,Cần Thơ,2022-06-04
183,Khách hàng 183,customer183@email.com,0915505975,Áo cưới|Áo sơ mi,high,Huế,2022-08-09
184,Khách hàng 184,customer184@email.com,0977292380,Vest|Đầm dạ hội|Áo sơ mi,medium,TP.HCM,2021-03-05
185,Khách hàng 185,customer185@email.com,0921318464,Áo dài|Đầm dạ hội,high,Cần Thơ,2022-10-24
186,Khách hàng 186,customer186@email.com,0968754920,Áo dài,low,Huế,2022-06-21
187,Khách hàng 187,customer187@email.com,0947969333,Áo sơ mi|Vest|Đầm dạ hội,medium,Huế,2022-02-23
188,Khách hàng 188,customer188@email.com,0994676162,Quần tây|Áo sơ mi,low,Đà Nẵng,2021-03-09
189,Khách hàng 189,customer189@email.com,0961883769,Áo dài|Áo sơ mi,high,Đà Nẵng,2021-09-16
190,Khách hàng 190,customer190@email.com,0954743095,Váy công sở|Quần tây|Áo sơ mi,low,Hà Nội,2022-08-20
191,Khách hàng 191,customer191@email.com,0998870276,Vest|Đầm dạ hội|Quần tây,high,Huế,2021-05-13
192,Khách hàng 192,customer192@email.com,0960557040,Quần tây|Áo dài|Đầm dạ hội,high,Đà Nẵng,2021-05-11
193,Khách hàng 193,customer193@email.com,0996707983,Quần tây|Váy công sở|Áo sơ mi,low,Huế,2022-06-05
194,Khách hàng 194,customer194@email.com,0934194479,Áo dài|Đầm dạ hội,medium,TP.HCM,2021-12-16
195,Khách hàng 195,customer195@email.com,0930796389,Vest|Váy công sở,low,Hà Nội,2021-10-30
196,Khách hàng 196,customer196@email.com,0980669879,Áo sơ mi,high,Hà Nội,2022-11-09
197,Khách hàng 197,customer197@email.com,0990161060,Váy công sở|Áo sơ mi,low,Huế,2021-06-07
198,Khách hàng 198,customer198@email.com,0993851247,Vest,high,TP.HCM,2022-03-25
199,Khách hàng 199,customer199@email.com,0941880763,Áo cưới,medium,Huế,2022-09-18
200,Khách hàng 200,customer200@email.com,0941407343,Váy công sở|Quần tây,medium,Cần Thơ,2021-09-02
201,Khách hàng 201,customer201@email.com,0959370777,Váy công sở|Áo cưới,low,Cần Thơ,2022-03-28
202,Khách hàng 202,customer202@email.com,0977498993,Váy công sở|Đầm dạ hội,medium,Cần Thơ,2022-03-05
203,Khách hàng 203,customer203@email.com,0991156554,Váy công sở,low,TP.HCM,2021-09-14
204,Khách hàng 204,customer204@email.com,0959823245,Quần tây,medium,Cần Thơ,2021-04-16
205,Khách hàng 205,customer205@email.com,0921257528,Váy công sở|Áo sơ mi|Áo dài,medium,TP.HCM,2021-10-07
206,Khách hàng 206,customer206@email.com,0922309586,Áo sơ mi|Vest,medium,TP.HCM,2022-04-07
207,Khách hàng 207,customer207@email.com,0963211150,Áo dài|Áo cưới,low,Cần Thơ,2022-01-18
208,Khách hàng 208,customer208@email.com,0960319927,Áo cưới,low,TP.HCM,2021-01-29
209,Khách hàng 209,customer209@email.com,0955001909,Áo dài|Quần tây,high,TP.HCM,2021-05-21
210,Khách hàng 210,customer210@email.com,0928628439,Đầm dạ hội,medium,Huế,2022-04-05
211,Khách hàng 211,customer211@email.com,0938944689,Áo dài|Váy công sở|Quần tây,medium,TP.HCM,2022-07-16
212,Khách hàng 212,customer212@email.com,0948668339,Áo sơ mi|Váy công sở|Áo cưới,low,TP.HCM,2021-11-05
213,Khách hàng 213,customer213@email.com,0966348030,Áo dài,low,Cần Thơ,2022-04-14
214,Khách hàng 214,customer214@email.com,0990092958,Áo dài,medium,Cần Thơ,2021-01-17
215,Khách hàng 215,customer215@email.com,0929270557,Áo sơ mi|Váy công sở|Vest,high,Đà Nẵng,2022-03-16
216,Khách hàng 216,customer216@email.com,0942287985,Áo sơ mi,medium,Cần Thơ,2022-03-03
217,Khách hàng 217,customer217@email.com,0921490910,Quần tây,high,Cần Thơ,2022-01-05
218,Khách hàng 218,customer218@email.com,0978092370,Áo sơ mi,high,Cần Thơ,2022-07-22
219,Khách hàng 219,customer219@email.com,0915843091,Áo cưới,medium,Huế,2022-01-18
220,Khách hàng 220,customer220@email.com,0919067690,Quần tây|Áo dài,medium,Đà Nẵng,2021-09-04
221,Khách hàng 221,customer221@email.com,0954629892,Quần tây|Váy công sở|Áo dài,high,TP.HCM,2021-02-15
222,Khách hàng 222,customer222@email.com,0933500064,Áo sơ mi|Đầm dạ hội,high,Huế,2022-12-14
223,Khách hàng 223,customer223@email.com,0918469210,Quần tây|Vest,low,Huế,2021-02-07
224,Khách hàng 224,customer224@email.com,0915624520,Vest|Áo dài,low,Đà Nẵng,2021-11-14
225,Khách hàng 225,customer225@email.com,0914915156,Áo cưới|Áo sơ mi|Váy công sở,medium,TP.HCM,2021-10-20
226,Khách hàng 226,customer226@email.com,0954550177,Váy công sở|Áo dài,high,Đà Nẵng,2021-05-08
227,Khách hàng 227,customer227@email.com,0969020451,Áo cưới|Váy công sở,high,Huế,2021-12-14
228,Khách hàng 228,customer228@email.com,0976776459,Áo cưới,high,Đà Nẵng,2022-06-16
229,Khách hàng 229,customer229@email.com,0966975380,Váy công sở|Áo dài,high,Hà Nội,2022-03-17
230,Khách hàng 230,customer230@email.com,0953112268,Váy công sở|Vest|Áo sơ mi,medium,Hà Nội,2021-03-23
231,Khách hàng 231,customer231@email.com,0969849800,Quần tây|Đầm dạ hội,medium,Cần Thơ,2022-03-13
232,Khách hàng 232,customer232@email.com,0957183837,Quần tây,medium,Huế,2021-02-13
233,Khách hàng 233,customer233@email.com,0946850196,Váy công sở|Đầm dạ hội|Áo sơ mi,medium,Hà Nội,2021-03-18
234,Khách hàng 234,customer234@email.com,0931473054,Quần tây|Áo cưới|Đầm dạ hội,high,Hà Nội,2021-05-27
235,Khách hàng 235,customer235@email.com,0919023909,Quần tây|Áo cưới|Áo dài,low,TP.HCM,2022-10-23
236,Khách hàng 236,customer236@email.com,0914346684,Đầm dạ hội|Áo cưới,high,Cần Thơ,2021-06-07
237,Khách hàng 237,customer237@email.com,0920319387,Áo cưới|Đầm dạ hội|Quần tây,medium,Cần Thơ,2021-05-21
238,Khách hàng 238,customer238@email.com,0947405107,Đầm dạ hội|Áo cưới|Váy công sở,high,TP.HCM,2021-04-27
239,Khách hàng 239,customer239@email.com,0976980546,Quần tây,low,Cần Thơ,2022-02-01
240,Khách hàng 240,customer240@email.com,0969897763,Áo dài|Đầm dạ hội|Quần tây,high,TP.HCM,2022-09-19
241,Khách hàng 241,customer241@email.com,0926460116,Quần tây|Áo cưới,low,TP.HCM,2021-03-17
242,Khách hàng 242,customer242@email.com,0921783073,Vest|Quần tây,medium,Đà Nẵng,2022-11-15
243,Khách hàng 243,customer243@email.com,0982769008,Quần tây|Áo dài,high,Đà Nẵng,2021-11-04
244,Khách hàng 244,customer244@email.com,0995590648,Quần tây,high,TP.HCM,2022-01-06
245,Khách hàng 245,customer245@email.com,0941774192,Vest|Áo dài|Váy công sở,low,Huế,2021-01-27
246,Khách hàng 246,customer246@email.com,0972734149,Áo sơ mi|Váy công sở,medium,Cần Thơ,2021-05-13
247,Khách hàng 247,customer247@email.com,0974245343,Áo dài|Váy công sở|Đầm dạ hội,medium,Cần Thơ,2022-02-25
248,Khách hàng 248,customer248@email.com,0926821075,Váy công sở|Áo sơ mi,low,Đà Nẵng,2022-10-20
249,Khách hàng 249,customer249@email.com,0979438885,Áo cưới,medium,Đà Nẵng,2021-05-12
250,Khách hàng 250,customer250@email.com,0968065043,Quần tây|Áo sơ mi|Vest,low,Cần Thơ,2021-02-26
251,Khách hàng 251,customer251@email.com,0950818905,Áo sơ mi,low,TP.HCM,2021-06-15
252,Khách hàng 252,customer252@email.com,0979645282,Quần tây|Vest,medium,Đà Nẵng,2021-03-22
253,Khách hàng 253,customer253@email.com,0946836194,Vest|Quần tây,high,TP.HCM,2022-10-03
254,Khách hàng 254,customer254@email.com,0977454225,Áo sơ mi|Váy công sở,low,TP.HCM,2022-08-30
255,Khách hàng 255,customer255@email.com,0991220369,Vest|Váy công sở|Áo sơ mi,high,Đà Nẵng,2022-08-01
256,Khách hàng 256,customer256@email.com,0920901547,Váy công sở,low,Hà Nội,2022-10-19
